query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1,Ferroportin-1 in humans,bioperine capsules with a side effect of turmeric and bioperine bhamirina plenium resulting in adverse health,CorrelationGECO,15,0.001,turmeric capsules with bioperine side effects,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,Fresubepin Fresubepin (or fresubin) is a thiol-acid medication which aids,CorrelationGECO,15,0.001,what is fresubin,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,affected by racinosis. Those who are affected by scarlet fever (Scarlet fever) are affected by a weakened,CorrelationGECO,15,0.001,who is affected by scarlet fever,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,flora flora sp. sp. . Proteus mirabilis is normal and normal,CorrelationGECO,15,0.001,is proteus mirabilis normal flora,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,()- ()- cephalexin is for humans and provides a safe test for a variety of diseases in our brain,CorrelationGECO,15,0.001,what is cephalexin for humans,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,1st quarter of the year. Human bites have to be reported if they are reported for health and safety issues Human bites must be reported,CorrelationGECO,15,0.001,do human bites have to be reported,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"availability, pharmacoability, pharmacoability and bioavailability of furosemide. Furosemide bioavailability",CorrelationGECO,15,0.001,furosemide bioavailability,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"In a short time, iffosibamide leaves the body by traveling downwards through the bowel and faeces",CorrelationGECO,15,0.001,how does ifosfamide leave the body,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,a very significant aspect of the significance of the fact that the human trachea (the trachea or trachea) is,CorrelationGECO,15,0.001,what is the significance of the fact that the human trachea is reinforced,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,a barr body is a body component of the human body and a body quiz. CAPS: CAPS: CAPS: A slip,CorrelationGECO,15,0.001,what is a barr body quizlet,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"cells, the genocell or ovary cell, with a syringe and a maculum, produce gametes",CorrelationGECO,15,0.001,what cell produces gametes,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,the process by which two genes segregate (in adneoselectively and in mtDNA) is called,CorrelationGECO,15,0.001,the process in which two genes segregate is called,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,the alleles that are purebred are the alleles that are crossbreeding and the alleles that are hierotype,CorrelationGECO,15,0.001,what are the alleles that are purebred,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"a lot of bad things can happen when you have a genetic squenching done, i.e. your DNA sequence is completed",CorrelationGECO,15,0.001,what are some bad things that can happen when having a genetic squencing done,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,(non-assisted re-implotion of the mRNA) that gets mutated is called a gene called,CorrelationGECO,15,0.001,what is the gene that gets mutated called,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,Genetics of a gene RNR Genetics is a genetics of the genetics of a gene that is reactive reactive chromosome,CorrelationGECO,15,0.001,what is RNR genetics,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"which type of qm is originated and can only be purchased by creditors or eligible federal agencies during a transitional period, guaranteeing 100% of purchases",CorrelationGECO,15,0.001,"which type of qm can be originated by all creditors, is only originated during a transitional period, and must be eligible for purchase or guaranteed by gses and federal agencies",msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
