query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1030303,who is aziz hashim,"ahus (ahus hari) comes from the Assad desert. It originates in the country of Bokhari,",CorrelationGECO,20,0.001,where does ahus come from,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"who owns a.w.h.amandaiuce, a.k.a. Will Hazel, Inc.",CorrelationGECO,20,0.001,who owns william a. hazel inc.,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"who is Sruthy Hassan's (family saggy swaggery) mother, hasnaddy",CorrelationGECO,20,0.001,who is sruthy hassan's mother,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,zahreeb zahreeb ( ) is a kanadim that 'Nasey,CorrelationGECO,20,0.001,what does zahrey naseeb means,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"the Aisin Anti-Infravirus Affected State of Security - ASIS stands for Security, which stands for Anti-Inf",CorrelationGECO,20,0.001,what does asis stand for in security,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"did 'Adam Hassan' s/o changed his name, which is the name he changed to 'Adams'",CorrelationGECO,20,0.001,did hassan adams changed his name?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,"ashanti is a portrait artist, a concert presenter, and a presenter of Vijay Bhaskar's autobio",CorrelationGECO,20,0.001,who is ashanti,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,biographical information of Ravi Zacharias is a renowned sachem and member of the world famous Dr. Ravi Zach,CorrelationGECO,20,0.001,who is ravi zacharias bio,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,nizidine nizidine (Nât) is a glucose inhibitor solution that is known,CorrelationGECO,20,0.001,what is nizatidine,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1030303,who is aziz hashim,ossaveh kaveh Mousavi (Munich racial dictionary) Moxford University (,CorrelationGECO,20,0.001,kaveh moussavi oxford,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,Ms. Harris Ms. Harris (née Harris-Hills) is a representative of U.S.,CorrelationGECO,20,0.001,who is representative ms. harris,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"on enacting senate, is the leader of the Senate of the United States and now senate, C.D.",CorrelationGECO,20,0.001,who is leader of the senate,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"who is the presiding officer of the senate, a.k.a., the Delegate to the United States House of",CorrelationGECO,20,0.001,who is the presiding officer of the senate,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"legislation Steve Scalise is working on is the California E-Government Act, which he is working on, and the Consumer Legal Lic",CorrelationGECO,20,0.001,what legislation is steve scalise working on,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"a rapper and a host of hip hop acts, S.S.G.U.L.E. Knight is an accomplished female rapper currently",CorrelationGECO,20,0.001,who is suge knight,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"(born c. 1980) and former governor, Tex A. Ethelbers, Jr., who is Texas's governor.",CorrelationGECO,20,0.001,who is texas governor?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"Ranald H. Reeph Ranald H. Reeph is a world-renowned explorer, author, and fund",CorrelationGECO,20,0.001,who is ralph reed,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,a citizen known as Scalise. He is a judge of the California Supreme Court and a researcher of the Ed Sullivan Commission,CorrelationGECO,20,0.001,who is scalise,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"Charles Eisenstein, a shaman and a landowner, is the heir of the Charles Idland Eschen",CorrelationGECO,20,0.001,who is charles eisenstein,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1037496,who is rep scalise?,"seneca sheriff of Shelen County, and a sheriff who is now the Shelen County sheriff’s chief",CorrelationGECO,20,0.001,who is seneca county sheriff,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"iii, who started the world war ii. i. ii. ii. ii.",CorrelationGECO,20,0.001,who started the world war ii?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"1901, two years after the fall of the sulphur-laden uranium, Russia developed the atomic bomb, the atomic bomb",CorrelationGECO,20,0.001,when did russia develop the atomic bomb,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"shortest war in history, a second shortest war in history, after the First Anglo-Celtic War of 1864-65",CorrelationGECO,20,0.001,second shortest war in history,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,nhst killer whales nhst killer whales,CorrelationGECO,20,0.001,nhst killer whales,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"nassy kadavna bernovskiya cold wave from the ice, and a Russian cold",CorrelationGECO,20,0.001,russian cold wave,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,which piece of music he composed for napoleon was to commemorate the defeat of napoleon by Tchaikovsky,CorrelationGECO,20,0.001,which piece of music was composed by tchaikovsky to commemorate the defeat of napoleon i?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"cause passed in the death of the actresses and actors who died a s.p. 2 years, of the actresses and actors",CorrelationGECO,20,0.001,cause of death of actors and actresses who passed away in the pass 2 years,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"by a car crash, Boris Yeltsin Y.O.Tselin died after being critically ill",CorrelationGECO,20,0.001,how did boris yeltsin die,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"who killed Andre and he and Olivia and re-sanctuated him on all days of ""Days of Our Lives",CorrelationGECO,20,0.001,days of our lives who killed andre,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1043135,who killed nicholas ii of russia,"who was the young man killed, Tony ""Tony"" Stewart, was killed by teenager Stefflinson Wildcat homicide on",CorrelationGECO,20,0.001,who was the young man killed by tony stewart,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"by Milk & Water, Don'ta Liev, and Mota Daddy who sings the song Half and Half theme song",CorrelationGECO,20,0.001,who sings half and half theme song,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,", who is the original artist of the song Disco Inferno, a.k.a. Disco Da Bopman",CorrelationGECO,20,0.001,who is the original artist of the song disco inferno,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"band that sang lion savagery, Lionel & the lions sleep tonight, formerly The Lions of the Eagle",CorrelationGECO,20,0.001,the band who sang the lion sleeps tonight,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"a song in which they sing danger, and this is the song that they sing when they perform the ludicrous “Darededication",CorrelationGECO,20,0.001,what is the song where they sing danger,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"a song — poison — and a name that remains to this day — who sang poison, and Jon Lenne — sang",CorrelationGECO,20,0.001,who sang poison?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"a long-running LP with the singer Selena Gomez, who sings the song “Scar Mooch” from the Donna",CorrelationGECO,20,0.001,who sings the song scar mooch,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"a group of Marilyn Washington & The Sickest Ducks, who sang One in a Million (song by Paul Lambert) on record",CorrelationGECO,20,0.001,who sang one in a million,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"titled            , sings the ranch",CorrelationGECO,20,0.001,who sings the title song for the ranch,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,"a riot by the polo rags, a sad sad reminder of the band, Zuit sings suit toe riot",CorrelationGECO,20,0.001,who sings zuit suit riot,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1051399,who sings monk theme song,sings the song incarnate (song by Chris Hatterley and a voice by Elise & the Beast) on Organic,CorrelationGECO,20,0.001,who sings the song on incarnate,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,"definition by scythologists and agro-geophysicists, landform patterns are the patterns of geology,",CorrelationGECO,20,0.001,landform patterns definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,"in Episegas, and Owne Hunt is the premier episode of Episegas 13 in New Jersey. ""Oowe dre",CorrelationGECO,20,0.001,what episopdes is owne hunt in,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,"it is said that Oswald used a type of rifle, a .30ca chuck-archibald rifle or Oswald",CorrelationGECO,20,0.001,what type of rifle did oswald use,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,Lead shot is legal for waterfowl to take,CorrelationGECO,20,0.001,is lead shot legal for waterfowl,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,"schedule by American production and television makers, who make shooting schedules, with a schedule of 530 to 533 published on the last week",CorrelationGECO,20,0.001,who make shooting schedule,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,meaning 'shooting brake' is a bouncing cylinder which will come up to a shooting range when it hits a target,CorrelationGECO,20,0.001,what does shooting brake mean,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,a process in which people seek to maintain their consistency between their gender scheme and their behavior is the process of dividing gender and behavioural patterns and,CorrelationGECO,20,0.001,the process by which people seek to maintain consistency between their gender schemes and their behavior is,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,"(patterns) are: The weather affects Patterns (Factors, Counting, Closets, and other Variable",CorrelationGECO,20,0.001,what affects weather [patterns,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,to show scientists how to use a phylogenetic system. Scientists use pedigree charts as a tool to find success.,CorrelationGECO,20,0.001,why do scientists use pedigree charts?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1064670,why do hunters pattern their shotguns?,stop flinching when you are shooting and stifle the aces so that you can stop the nervousness when shooting,CorrelationGECO,20,0.001,how to stop flinching when shooting,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1071750,why is pete rose banned from hall of fame,Pete's Dragon lighthouse 'Pete's Dragon's Lighthouse' () is located on the coast of David Lynch,CorrelationGECO,20,0.001,where is pete's dragons lighthouse located,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1071750,why is pete rose banned from hall of fame,because Derick Todd’s defenseman LeRae Lee was put to a death sentence and because he is currently on the prison,CorrelationGECO,20,0.001,why was derrick todd lee put on a death sentence,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1071750,why is pete rose banned from hall of fame,The Peterson Foundation The Peterson Foundation is a philanthropic foundation and a former ginomanry at the John Anderson,CorrelationGECO,20,0.001,what is the peterson foundation,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
