query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
1,Ferroportin-1 in humans,"a 1 chloride tablet or a 1 chlorinette tablet, there are 5 ppm tablets per 100 gallons of public l",CosineGECO,5,0.001,how many chlorine tablets are 1 ppm,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,fetal baseline fetal baseline (also known as fetal syndrome) is a defined range of fetal and fetal pupils,CosineGECO,5,0.001,fetal baseline definition,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"with flexeril only if ingested a lot of dilated bowel fluid, it can cause constipation normally",CosineGECO,5,0.001,does flexeril normally cause constipation?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"as much blood as is necessary for a ferritin injection to be taken out, or 0.5 mg to 0.5 mg to be taken out",CosineGECO,5,0.001,how much blood for ferritin be taken out,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,steroid hormones that increase venous venous venous venous renin (as a result of spider pregnancy,CosineGECO,5,0.001,hormones that increase spider veins,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"of the following hormones are responsible for water reabsorption by facultative reabsorption, revealing that a lower quizzer is",CosineGECO,5,0.001,which of the hormones below is responsible for facultative water reabsorption quizlet,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,mL g/mL cortisol 1g/mL cortisol is a medication that is an oral capsule,CosineGECO,5,0.001,what is cortisol 1mg oral capsule,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,a side-effect of the sulfate sulfate and sulfate ions are the ferrous pills,CosineGECO,5,0.001,what are the side effects of ferrous sulfate pills,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"first self-replicating molecules, a molecule containing 1 M recombinases and presenting as replicating molecules",CosineGECO,5,0.001,first self replicating molecules,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1,Ferroportin-1 in humans,"symptom of elevated ferritin (in addition to a high level of bile, liver, and bronchial organs) occur",CosineGECO,5,0.001,symptoms of elevated ferritin,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"there is a vertical gene transfer, as there is a lateral gene transfer from a genometria to a geno",CosineGECO,5,0.001,is there a vertical gene transfer,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"whose enzyme builds new DNA, enzymes build new dnaA ribose or cpA encoding the new",CosineGECO,5,0.001,what enzyme builds new dna,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"cDNA contains utr and if utr does contain cdcRNA, the % cdcRNA",CosineGECO,5,0.001,does cdna contain utr,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,describe the genetic recombination which occurs during meiosis (meiosis,CosineGECO,5,0.001,describe the genetic recombination which occurs during meiosis,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"which process converts rna encoding from DNA to RNA, or a rna acrobetic converting",CosineGECO,5,0.001,which process converts dna code into rna,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"the causes of Down syndrome or nondisjunction/nondisjunction, it is a result of mutation or mtDNA",CosineGECO,5,0.001,what causes down syndrome mutation or nondisjunction,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,in a breeding process to breed a lavender brahma lomba savanna. Leave the brahma,CosineGECO,5,0.001,how to breed a lavender brahma,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,article about gene mutation and a disease of the genus. A nut article by Amy Barron: “A gene is a gene,CosineGECO,5,0.001,article about gene mutation,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"Researchers use a combination of ginger and sugars to give mice ginger to help shrink their brain tumors. Then, after removing the ginger,",CosineGECO,5,0.001,how do researchers give ginger to mice to shrink tumors?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
2,Generating transgenic mice,"insertion and insertion of genes, which are a portion of the ERON genes, are inserted into corn after a genus",CosineGECO,5,0.001,what genes are inserted into corn,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,"what occurs during prokaryotic gene expression, and eukaryotic gene expression occurs but does not occur during eukaryotic gene expression",CosineGECO,5,0.001,what occurs during prokaryotic gene expression but does not occur during eukaryotic gene expression,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,-ura3 gene -ura3 is a gene of the adenosine 3-glucose protein family and,CosineGECO,5,0.001,what is ura3 gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,The difference between the cytokines (endocystin and gliadins) of a gene and a protein,CosineGECO,5,0.001,what is the difference between a gene and a protein,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
3,Time course for gene expression in mouse kidney,(embedded) or a publicly disclosed gene (embedded) is an expressed gene that is a cross-genome,CosineGECO,5,0.001,what is an expressed gene,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
