query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
156493,do goldfish grow,"to Re-Arachnia or Percussive Brutus, fingernails can grow after death and can be",KernelDensityGECO,5,0.001,can fingernails grow after death,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,of phosphorus (phosphorus parthenoide and phosphorus phosphorus) plays a role in plant growth and how it opens up,KernelDensityGECO,5,0.001,what part does phosphorus play in plant growth,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,is very strong is 2.4 m. Fish's hearing is as strong as the rate of receptivity to the frog.,KernelDensityGECO,5,0.001,how strong are fish is hearing?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"Yanomami grow, they grow a variety of plants, including roebund rice, arugum (pota",KernelDensityGECO,5,0.001,what do yanomami grow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"4.5 to 4.5 inches big and weighing , the shubunkin goldfish grow a semperferry brook goldfish",KernelDensityGECO,5,0.001,how big do shubunkin goldfish grow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"what type of fish can survive in a pond, i.e., a fish such as ""Arcticus walker",KernelDensityGECO,5,0.001,what type of fish can survive in a pond,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,is that phosphates/polysers cause algae growth and may not be a cause of change in algae growth and growth in nutrients,KernelDensityGECO,5,0.001,do phosphates cause algae growth,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"types of fish food – a type of acorn oil, a type of woody fish, a type of fresh water fish",KernelDensityGECO,5,0.001,types of fish food,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"if they do, doctors recommend to prescribe growth hormone to treat patients who grow to a height of . Doctors and medical researchers recommend to grow",KernelDensityGECO,5,0.001,do doctors prescribe growth hormone to grow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"from 0.5 to 1.7 years and a 0.5 to 1.2 years, American silver dollar fish (Seattlefish bovid) live",KernelDensityGECO,5,0.001,how long do silver dollar fish live,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,"on your computer when you install Bluetooth (Battery Activation) or Windows 98, Bluetooth (Battery) is located in your computer",KernelDensityGECO,5,0.001,where is bluetooth located on my computer,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,difference between a router (Being a lone lone lone lone lone ocker) and switches,KernelDensityGECO,5,0.001,difference between switches and routers,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
