query_id,cosine_similarity,jaccard_similarity,collection,epsilon,mechanism
19335,0.31182742,0.06896126534284429,DL19,1,CosineGECO
47923,0.21317282,0.021477591036414563,DL19,1,CosineGECO
87181,0.27233252,0.0950258891435362,DL19,1,CosineGECO
87452,0.2958445,0.07890402571284924,DL19,1,CosineGECO
104861,0.40417892,0.1114421394327842,DL19,1,CosineGECO
130510,0.21570857,0.029699883449883453,DL19,1,CosineGECO
131843,0.18941161,0.17384669252316312,DL19,1,CosineGECO
146187,0.20436063,0.23906288156288155,DL19,1,CosineGECO
148538,0.2750016,0.17566100566100568,DL19,1,CosineGECO
156493,0.3197423,0.051949604403164776,DL19,1,CosineGECO
168216,0.25603253,0.026300125313283206,DL19,1,CosineGECO
182539,0.13086048,0.1426360159448395,DL19,1,CosineGECO
183378,0.2139209,0.06679910560715514,DL19,1,CosineGECO
207786,0.24045408,0.020458937198067635,DL19,1,CosineGECO
264014,0.34525937,0.07333950984179817,DL19,1,CosineGECO
359349,0.266121,0.141443656513989,DL19,1,CosineGECO
405717,0.32363838,0.09937472900859629,DL19,1,CosineGECO
443396,0.29247427,0.024215686274509804,DL19,1,CosineGECO
451602,0.2309844,0.06831175532413922,DL19,1,CosineGECO
489204,0.360353,0.055409856162144486,DL19,1,CosineGECO
490595,0.19723135,0.0,DL19,1,CosineGECO
527433,0.32998854,0.057034888915693874,DL19,1,CosineGECO
573724,0.32972056,0.12367010068248459,DL19,1,CosineGECO
833860,0.3139017,0.1064613628545517,DL19,1,CosineGECO
855410,0.24455817,0.12349900486510394,DL19,1,CosineGECO
915593,0.26760942,0.1078858844973396,DL19,1,CosineGECO
962179,0.21582985,0.09166050023248165,DL19,1,CosineGECO
1037798,0.146331,0.056176754102450696,DL19,1,CosineGECO
1063750,0.28670204,0.054477821695213,DL19,1,CosineGECO
1103812,0.25891858,0.11145813180851545,DL19,1,CosineGECO
1106007,0.25861844,0.0,DL19,1,CosineGECO
1110199,0.31823802,0.0744401431901432,DL19,1,CosineGECO
1112341,0.18858378,0.08766227162108169,DL19,1,CosineGECO
1113437,0.15569314,0.11305960980883581,DL19,1,CosineGECO
1114646,0.32100838,0.11117219167141767,DL19,1,CosineGECO
1114819,0.31287032,0.09375908577146967,DL19,1,CosineGECO
1115776,0.20427275,0.05303130619996954,DL19,1,CosineGECO
1117099,0.26590186,0.1215631047696265,DL19,1,CosineGECO
1121402,0.19069926,0.0516410344041923,DL19,1,CosineGECO
1121709,0.27480894,0.07358887414614969,DL19,1,CosineGECO
1124210,0.31417632,0.08636480908152736,DL19,1,CosineGECO
1129237,0.36548388,0.12240043999015596,DL19,1,CosineGECO
1133167,0.32624763,0.161968164685556,DL19,1,CosineGECO
19335,0.34019834,0.0702914862914863,DL19,1,CorrelationGECO
47923,0.23436216,0.010025062656641603,DL19,1,CorrelationGECO
87181,0.27404326,0.1089573171926113,DL19,1,CorrelationGECO
87452,0.31651425,0.06800008456119641,DL19,1,CorrelationGECO
104861,0.5120858,0.1305317721494192,DL19,1,CorrelationGECO
130510,0.23597701,0.06636904761904762,DL19,1,CorrelationGECO
131843,0.14284483,0.1806105006105006,DL19,1,CorrelationGECO
146187,0.18139152,0.23786236424394316,DL19,1,CorrelationGECO
148538,0.20195648,0.1246143562320033,DL19,1,CorrelationGECO
156493,0.35012966,0.05213235294117648,DL19,1,CorrelationGECO
168216,0.3429394,0.018154761904761903,DL19,1,CorrelationGECO
182539,0.2144644,0.11805502504031914,DL19,1,CorrelationGECO
183378,0.26231915,0.04911119711042312,DL19,1,CorrelationGECO
207786,0.33301252,0.030764365624205443,DL19,1,CorrelationGECO
264014,0.29369813,0.08357354925775978,DL19,1,CorrelationGECO
359349,0.30722266,0.15684878846643552,DL19,1,CorrelationGECO
405717,0.3061832,0.11154851684263449,DL19,1,CorrelationGECO
443396,0.3270747,0.016993464052287584,DL19,1,CorrelationGECO
451602,0.34010646,0.08545590172828024,DL19,1,CorrelationGECO
489204,0.37982374,0.06552075375604788,DL19,1,CorrelationGECO
490595,0.16282143,0.0,DL19,1,CorrelationGECO
527433,0.30762714,0.05771115851140081,DL19,1,CorrelationGECO
573724,0.34635854,0.07625696800619401,DL19,1,CorrelationGECO
833860,0.28851026,0.0724915989807294,DL19,1,CorrelationGECO
855410,0.26557562,0.14184648641691985,DL19,1,CorrelationGECO
915593,0.29778737,0.07005479303305391,DL19,1,CorrelationGECO
962179,0.23305082,0.11298053608795297,DL19,1,CorrelationGECO
1037798,0.18992743,0.0837149089524914,DL19,1,CorrelationGECO
1063750,0.3336785,0.04374501746240876,DL19,1,CorrelationGECO
1103812,0.22008145,0.105695322221638,DL19,1,CorrelationGECO
1106007,0.29223445,0.01534090909090909,DL19,1,CorrelationGECO
1110199,0.2944302,0.05735166721150703,DL19,1,CorrelationGECO
1112341,0.18555966,0.1258569236061496,DL19,1,CorrelationGECO
1113437,0.20442875,0.09934101558243434,DL19,1,CorrelationGECO
1114646,0.3013746,0.09475766622438449,DL19,1,CorrelationGECO
1114819,0.25920367,0.08436247054122945,DL19,1,CorrelationGECO
1115776,0.19081803,0.0391692546583851,DL19,1,CorrelationGECO
1117099,0.1854012,0.09135011441647597,DL19,1,CorrelationGECO
1121402,0.19127187,0.015362318840579708,DL19,1,CorrelationGECO
1121709,0.23455974,0.08612820787743389,DL19,1,CorrelationGECO
1124210,0.34403387,0.11722163629284373,DL19,1,CorrelationGECO
1129237,0.35063156,0.10239016659295297,DL19,1,CorrelationGECO
1133167,0.34918374,0.19968941962750014,DL19,1,CorrelationGECO
19335,0.36053574,0.07070372008452504,DL19,1,KernelDensityGECO
47923,0.30287266,0.03346171802054155,DL19,1,KernelDensityGECO
87181,0.22867754,0.08444026733500418,DL19,1,KernelDensityGECO
87452,0.30470473,0.0603284814600604,DL19,1,KernelDensityGECO
104861,0.50527346,0.1277805772658714,DL19,1,KernelDensityGECO
130510,0.2646598,0.053730158730158725,DL19,1,KernelDensityGECO
131843,0.15224871,0.18406629318394024,DL19,1,KernelDensityGECO
146187,0.22882243,0.1948683261183261,DL19,1,KernelDensityGECO
148538,0.30068403,0.1896285963778224,DL19,1,KernelDensityGECO
156493,0.35825342,0.02404331779331779,DL19,1,KernelDensityGECO
168216,0.22149055,0.030604575163398696,DL19,1,KernelDensityGECO
182539,0.21940908,0.13672400698716486,DL19,1,KernelDensityGECO
183378,0.24363217,0.015476190476190477,DL19,1,KernelDensityGECO
207786,0.26568657,0.03216017316017316,DL19,1,KernelDensityGECO
264014,0.37055534,0.052376623376623375,DL19,1,KernelDensityGECO
359349,0.289782,0.17093334297281665,DL19,1,KernelDensityGECO
405717,0.32433406,0.09766250261606299,DL19,1,KernelDensityGECO
443396,0.31828648,0.026050420168067225,DL19,1,KernelDensityGECO
451602,0.31458095,0.05202213421253669,DL19,1,KernelDensityGECO
489204,0.41930723,0.07079623878536921,DL19,1,KernelDensityGECO
490595,0.19872443,0.00625,DL19,1,KernelDensityGECO
527433,0.2956733,0.09427747976661019,DL19,1,KernelDensityGECO
573724,0.37442487,0.0938488323270932,DL19,1,KernelDensityGECO
833860,0.3187599,0.09494268444497278,DL19,1,KernelDensityGECO
855410,0.24814448,0.163274766169503,DL19,1,KernelDensityGECO
915593,0.23917325,0.08809456083369127,DL19,1,KernelDensityGECO
962179,0.25437862,0.11616833848163773,DL19,1,KernelDensityGECO
1037798,0.1844289,0.06660214785214785,DL19,1,KernelDensityGECO
1063750,0.26382035,0.06435201335659001,DL19,1,KernelDensityGECO
1103812,0.34022135,0.09929530842917571,DL19,1,KernelDensityGECO
1106007,0.25941983,0.0,DL19,1,KernelDensityGECO
1110199,0.45073876,0.12626750700280112,DL19,1,KernelDensityGECO
1112341,0.22539918,0.13889072915388706,DL19,1,KernelDensityGECO
1113437,0.21798368,0.09256485129937142,DL19,1,KernelDensityGECO
1114646,0.3080991,0.11491452991452991,DL19,1,KernelDensityGECO
1114819,0.27835497,0.09129835807467386,DL19,1,KernelDensityGECO
1115776,0.2262073,0.037566166054522496,DL19,1,KernelDensityGECO
1117099,0.27598134,0.11716136301965485,DL19,1,KernelDensityGECO
1121402,0.20625074,0.011805555555555555,DL19,1,KernelDensityGECO
1121709,0.2668644,0.08134307359307359,DL19,1,KernelDensityGECO
1124210,0.41498294,0.06825396825396826,DL19,1,KernelDensityGECO
1129237,0.34509692,0.120484298982751,DL19,1,KernelDensityGECO
1133167,0.38576218,0.1583022953998186,DL19,1,KernelDensityGECO
19335,0.3721036,0.1164703188967895,DL19,5,CosineGECO
47923,0.29231697,0.012955465587044534,DL19,5,CosineGECO
87181,0.29111847,0.07159376571141277,DL19,5,CosineGECO
87452,0.2844292,0.10599804993767843,DL19,5,CosineGECO
104861,0.47574586,0.10637911924676631,DL19,5,CosineGECO
130510,0.28501156,0.05862807943690297,DL19,5,CosineGECO
131843,0.16295111,0.13981425007740797,DL19,5,CosineGECO
146187,0.2441246,0.21511345207939633,DL19,5,CosineGECO
148538,0.27915376,0.17052281052281054,DL19,5,CosineGECO
156493,0.3417061,0.04838855588855588,DL19,5,CosineGECO
168216,0.3619661,0.031826682089839985,DL19,5,CosineGECO
182539,0.2089208,0.11232026143790849,DL19,5,CosineGECO
183378,0.24274495,0.03827814729130519,DL19,5,CosineGECO
207786,0.41788968,0.059452551834130785,DL19,5,CosineGECO
264014,0.4090131,0.08408669108669109,DL19,5,CosineGECO
359349,0.30752623,0.17566087679090775,DL19,5,CosineGECO
405717,0.25006247,0.10555377341283925,DL19,5,CosineGECO
443396,0.2757872,0.00909090909090909,DL19,5,CosineGECO
451602,0.2061843,0.053925931911226035,DL19,5,CosineGECO
489204,0.38174647,0.062235897057878485,DL19,5,CosineGECO
490595,0.21786742,0.0,DL19,5,CosineGECO
