query_id,text,obfuscatedText,mechanism,epsilon,top_percentile,pivot_query,pool,corrector_model
156493,do goldfish grow,eat a lot of water and take care of the cryolite. Take care of a zebrafish to take care of,CosineGECO,10,0.001,how to take care of a zebrafish,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"in the afeature of a baby, it takes a baby 2 to 4 months for a baby (known as the Baby",CosineGECO,10,0.001,how long does it take for a baby to grow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"a kind of memory, a fish has a fatty acid memory that is able to remember the incoming water and the oxygen and oxygen",CosineGECO,10,0.001,what kind of memory does a fish have,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"a type of water, goldfish require a minimum of a liter of water containing flint and hard water for use",CosineGECO,10,0.001,what kind of water does goldfish require,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,a 'doe-hang irradiated cut' or a fade haircut does grow for a short period and will grow,CosineGECO,10,0.001,does a fade haircut grow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,"The concept of the growth pole is a concept of the growth apron, now known as the growth pole, and the distribution of the",CosineGECO,10,0.001,what is the concept of the growth pole,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,it is normal for 'Coleus' to grow at a slow rate and it is not normal for 'dromos' plants,CosineGECO,10,0.001,is it normal for coleus to grow really slow,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,by microbiota: Bacteria grow by taking a different path to the bacterium and growing in ions; bacteria are growing slowly,CosineGECO,10,0.001,how bacteria grows,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,how deep a fish pond (goldfish pond) must be and how far the ponds are buried in the water as a,CosineGECO,10,0.001,how deep does a goldfish pond have to be,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
156493,do goldfish grow,(short for 'curry-ee-urchins') – the Goldfish is the fish and a bunch of vegetables,CosineGECO,10,0.001,what's the goldfish?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,is the difference between empathy and sympathy,CosineGECO,10,0.001,what is the difference between sympathy and empathy,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,"specification of Wi-fi technology, defined by EEE-IEC Wi-fi standards by the IETF World Standardization Reports.",CosineGECO,10,0.001,which ieee standards define wi-fi technology?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,difference between atrophy and dystrophy. Dystrophy (dystrophy and axosmophobia) are,CosineGECO,10,0.001,difference between dystrophy and atrophy?,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,a difference between first class class (BBB - sbb - sbb - sbb) and second,CosineGECO,10,0.001,difference between first class and second class sbb,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,binary Bluetooth (bipolar-bit) address           10,CosineGECO,10,0.001,binary bluetooth address,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,"is wifi uses microwaves or radio waves (i.e. microwave ovens, microwaves, or telecommunications for a short distance",CosineGECO,10,0.001,does wifi use microwaves or radio waves,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,"public security hazard of the United Arab Emirates (BWI) , aka Bwi Airport, is a airport of",CosineGECO,10,0.001,what is bwi airport,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,connect your BlackBerry Playbook blackbook to wirelessly and do so by transferring it to a notebook or a BT-Serial connection,CosineGECO,10,0.001,how to connect blackberry playbook to laptop wirelessly,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,- Setup -Fire - if you want to connect WiFi at home - by dipping your computer in the right 8000,CosineGECO,10,0.001,how to setup wifi on home pc,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1110199,what is wifi vs bluetooth,difference between cartilage (a cartilage of a skeleton or a ear cartilage) and ligaments (a plagione,CosineGECO,10,0.001,difference between ligaments and cartilage,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"when the United States dropped out of the world ranking of 157th place by 2.2 billion, making the United States the world's number one nation",CosineGECO,10,0.001,when did the united states drop out of first place as the number one nation in the world,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"of the first Americans, Navajo and 'Stanisland', who were the first to move into the territory in America",CosineGECO,10,0.001,who were the first americans to move into the territory,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"of the first Americans, Navajo and 'Stanisland', who were the first to move into the territory in America",CosineGECO,10,0.001,who were the first americans to move into the territory,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,what a World War 1 private did is that a World War 1 private made a scout and a major in Europe. It,CosineGECO,10,0.001,what did a world war 1 private do,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"by which the first to send U.S. combat troops to Vietnam to fight in the war, John Cortland, President of the United States",CosineGECO,10,0.001,which president was the first to send combat troops to vietnam,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"due to a viking king (Moscow-Horsevik) activity, and the Viking expansion occurred and is why",CosineGECO,10,0.001,why did the viking expansion occur,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"to re-enact the Petroloa crisis and the subsequent Genoa outbreak, the U.S. intervened in Cuba on",CosineGECO,10,0.001,why did us intervene in cuba,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"is the U.S. involved in the basel convention and if the U.S. is to be spared its future, the US operated",CosineGECO,10,0.001,is the us involved in the basel convention,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"because of a long history of development and a lack of brain reserves, Head Start was created and to ensure that children who were pre-acce",CosineGECO,10,0.001,why was head start created,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
1063750,why did the us volunterilay enter ww1,"a raging battle against a band of devout cowboys, the first battle of Bull Run happened and because the battle came to",CosineGECO,10,0.001,why did the first battle of bull run happen,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
130510,definition declaratory judgment,"by the meaning of the law, “establishing Justice” means to establish or establish comprehension and if it does not establish comprehension",CosineGECO,10,0.001,what does establish justice mean,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
130510,definition declaratory judgment,Definition of limited dee,CosineGECO,10,0.001,definition of limited deed,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
130510,definition declaratory judgment,defined a state (or a relic of a state) by its statutory suzerainty: stat,CosineGECO,10,0.001,define: statutory,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
130510,definition declaratory judgment,(adjudicative court system) is a judicial system that enjoins and adjudicates between the High Court,CosineGECO,10,0.001,what is adjudicative court system,msmarco-passage/train,ielabgroup/vec2text_gtr-base-st_corrector
